word,Defination
coagulate,To become congealed to convert from a liquid to a semisolid mass
coda,In seismograms the gradual return to baseline after a seismic event
cogent,Appealing to the intellect or powers of reasoning
compendium,A short complete summary an abstract
complaisant,Willing to do what pleases others obliging
compliant,Compatible with or following guidelines specifications rules or laws
conciliatory,Willing to conciliate or to make concessions
condone,To forgive excuse or overlook
confound,To combine in a confused fashion to mingle so as to make the parts indistinguishable
connoisseur,A specialist in a given field whose opinion is highly valued especially in one of the fine arts or in matters of taste
contention,A point maintained in an argument or a line of argument taken in its support the subject matter of discussion of strife a position taken or contended for
contentious,Given to struggling with others out of jealousy or discord
contrite,Sincerely penitent or feeling regret or sorrow especially for one’s own actions
conundrum,A difficult question or riddle especially one using a play on words in the answer
converge,Of two or more entities to approach each other to get closer and closer
convoluted,Having numerous overlapping coils or folds convolute
craven,Unwilling to fight lacking even the rudiments of courage extremely cowardly
daunt,To discourage intimidate
decorum,A convention of social behavior
deference,The willingness to carry out the wishes of others
delineate,To describe or depict with words or gestures
denigrate,To criticise so as to besmirch traduce disparage or defame
deride,To harshly mock ridicule
desiccate,A substance which has been dessicated that is had its moisture removed
desultory,Jumping or passing from one thing or subject to another without order planning or rational connection lacking logical sequence
deterrent,Serving to deter preventing something from happening
dichotomy,Division and subdivision bifurcation as of a stem of a plant or a vein of the body into two parts as it proceeds from its origin often successive
diffidence,The state of being diffident timid or shy reticence or self-effacement
dirge,A mournful poem or piece of music composed or performed as a memorial to a dead person
disabuse,to free  of a misconception or misapprehension to unveil a falsehood held by
discerning,Of keen insight or good judgement perceptive
discordant,Of a differing type of rock cutting across a formation
discredit,To harm the good reputation of a person to cause an idea or piece of evidence to seem false or unreliable
discrepancy,An inconsistency between facts or sentiments
disingenuous,Assuming a pose of naïveté to make a point or for deception
disinterested,Having no stake or interest in the outcome free of bias impartial
disparage,To dishonor by a comparison with what is inferior to lower in rank or estimation by actions or words to speak slightingly of to depreciate to undervalue
disseminate,To sow and scatter principles ideas opinions etc or concrete things for growth and propagation like seeds
dissolution,The termination of an organized body or legislative assembly especially a formal dismissal
dissonance,In this polyphony of images in the unconscious which is beyond and outside historical time there are complex harmonies but no dissonances: the images do not clash but that of course is an aesthetic judgment and not a scientific one
distend,To extend or expand as from internal pressure to swell
divest,To sell off or be rid of through sale especially of a subsidiary
dogmatic,Adhering only to principles which are true a priori rather than truths based on evidence or deduction
dormant,In a sleeping posture distinguished from couchant
dupe,A duplicate of an order receipt printed for kitchen staff
ebullient,Boiling or agitated as if boiling
eclectic,Selecting a mixture of what appears to be best of various doctrines methods or styles
sources,Third-person singular simple present indicative form of source
efficacy,Ability to produce a desired effect under ideal testing conditions
effrontery,An act of insolent and shameless audacity
presumptuousness,The state of being presumptuous
elegy,A mournful or plaintive poem a funeral song a poem of lamentation
elicit,To draw out bring out bring forth  to obtain information from someone or something
embellish,To make something sound or look better or more acceptable than it is in reality to distort to embroider
empirical,Pertaining to derived from or testable by observations made using the physical senses or using instruments which extend the senses
emulate,of a program or device: to imitate another program or device
endemic,A disease affecting a number of people simultaneously so as to show a distinct connection with certain localities
enervate,To partially or completely remove a nerve
engender,To endow with gender to create gender or enhance the importance of gender
ephemeral,Usually dry but filling with water for brief periods during and after precipitation
equanimity,The state of being calm stable and composed especially under stress
equivocate,To speak using double meaning to speak ambiguously unclearly or doubtfully with intent to deceive
erudite,Learned scholarly with emphasis on knowledge gained from books
esoteric,Intended for or likely to be understood by only a small number of people with a specialized knowledge or interest or an enlightened inner circle
euphemism,The use of a word or phrase to replace another with one that is considered less offensive blunt or vulgar than the word or phrase which it replaces
exacerbate,To make worse  aggravate exasperate
exculpate,To clear of or to free from guilt exonerate
exigency,An urgent situation one requiring extreme effort or attention
extrapolation,A calculation of an estimate of the value of some function outside the range of known values
facetious,Treating serious issues with  inappropriate humour flippant
fallacious,Characterized by fallacy false or mistaken
fatuous,Obnoxiously stupid vacantly silly content in one's foolishness
cringing,present participle of cringe
felicitous,Of a sentence or utterance: semantically and pragmatically coherent fitting in the context
fervor,An intense heated emotion passion ardor
flag,A variable or memory location that stores a true-or-false yes-or-no value typically either recording the fact that a certain event has occurred or requesting that a certain optional action take place
fledgling,An insect that has just fledged i
flout,The act by which something is flouted violation of a law
foment,To incite or cause troublesome acts to encourage to instigate
forestall,To obstruct or stop up as a road to stop the passage of a highway to intercept on the road as goods on the way to market
frugality,The quality of being frugal prudent economy thrift
futile,Incapable of producing results doomed not to be successful not worth attempting
gainsay,To say something in contradiction to
garrulous,Excessively or tiresomely talkative
goad,A long pointed stick used to prod animals
gouge,To dig or scoop  out with or as if with a gouge in particular to use a thumb to push or try to push the eye  out of its socket
grandiloquent,Given to using language in a showy way by using an excessive number of difficult words to impress others bombastic turgid
gregarious,Describing one who enjoys being in crowds and socializing
gullible,Easily deceived or duped naive easily cheated or fooled
hyperbole,Deliberate or unintentional overstatement particularly extreme overstatement
iconoclastic,Characterized by attack on established and accepted beliefs customs or institutions of or pertaining to iconoclasm
idolatry,The excessive admiration of somebody or something
immutable,not able to be altered in the memory after its value is set initially
impair,To weaken to affect negatively to have a diminishing effect on
impassive,Having or revealing no emotion
impede,To get in the way of to hinder
imperturbable,Calm and collected even under pressure
impervious,Preventive of any penetration impenetrable impermeable particularly of water
implacable,Impossible to prevent or stop inexorable unrelenting unstoppable
implode,To cause to collapse or burst inward violently
incongruity,The state of being incongruous or lacking congruence
inconsequential,Having no consequence not consequential of little importance
indigence,extreme poverty or destitution
indolent,Causing little or no physical pain progressing slowly inactive
inert,In chemistry not readily reacting with other elements or compounds
ingenuous,Straightforward candid open and frank
inherent,Naturally as part or consequence of something
innocuous,Inoffensive unprovocative not exceptional
insinuate,To ingratiate to obtain access to or introduce something by subtle cunning or artful means
insipid,Flat lacking character or definition
insularity,The quality or property of being insular
intractable,Not tractable not able to be managed controlled governed or directed
inundate,To cover with large amounts of water to flood
irascible,Easily provoked to outbursts of anger irritable
irresolute,Indecisive or lacking in resolution
itinerary,A written schedule of activities for a vacation or road trip
laconic,Using as few words as possible pithy and concise
lassitude,Lethargy or lack of energy fatigue
latent,The residue left by a person's finger that can be made visible by a process such as powder dusting a latent fingerprint
lethargic,indifferent apathetic
levee,An embankment to prevent inundation as the levees along the Mississippi
levity,Lightness of manner or speech frivolity lack of appropriate seriousness inclination to make a joke of serious matters
loquacious,Talkative chatty
lucid,bright luminous translucent or transparent
magnanimity,That quality or combination of qualities in character which enables one to encounter danger and trouble with tranquility and firmness to disdain injustice meanness and revenge and to act and sacrifice for noble objectives
malingerer,A person who malingers
malleable,Able to be hammered into thin sheets capable of being extended or shaped by beating with a hammer or by the pressure of rollers
maverick,A person in the military who became an officer by going to college while on active duty as an enlisted person
mendacious,Lying untruthful or dishonest
meticulous,Characterized by very precise conscientious attention to details
misanthrope,One who hates all mankind one who hates the human race
mitigate,To reduce lessen or decrease to make less severe or easier to bear
morose,Sullen gloomy showing a brooding ill humour
mundane,"A person considered to be ""normal"" part of the mainstream culture outside the subculture not part of the elite group"
negate,To deny the existence evidence or truth of to contradict
neophyte,A name given by the early Christians and still given by the Roman Catholics to those who have recently embraced the Christian faith and been admitted to baptism especially those converts from heathenism or Judaism
obsequious,Excessively eager and attentive to please or to obey instructions fawning subservient servile
obviate,To anticipate and prevent or bypass
occlude,To obstruct cover or otherwise block
officious,Offensively intrusive or interfering in offering advice and services
onerous,imposing or constituting a physical mental or figurative load which can be borne only with effort burdensome
opprobrium,Disgrace arising from exceedingly shameful conduct ignominy
ostentatious,Intended to attract notice
paragon,The size of type between great primer and double pica standardized as 20-point
partisan,A member of a band of detached light irregular troops acting behind occupying enemy lines in the ways of harassment or sabotage a guerrilla fighter
pathological,Having properties that cause unusually bad behaviour especially regarding correctness or performance
paucity,A smallness in size or amount that is insufficient meagerness dearth
pedantic,Like a pedant overly concerned with formal rules and trivial points of learning
penchant,In the game of penchant any queen and jack of different suits held at the same time
penury,Extreme want poverty destitution
perennial,A perennial plant a plant that is active throughout the year or survives for more than two growing seasons
perfidious,Of pertaining to or representing perfidy disloyal to what should command one's fidelity or allegiance
enthusiasm,Intensity of feeling excited interest or eagerness
pervasive,Manifested throughout pervading permeating penetrating or affecting everything
phlegmatic,Not easily excited to action or passion calm sluggish
piety,Similar reverence to one's parents and family or to one's country
placate,To calm to bring peace to to influence someone who was furious to the point that they become content or at least no longer irate
plethora,Chronic excess of blood in the skin usually in the face
plummet,A piece of lead attached to a line used in sounding the depth of water a plumb bob or a plumb line
pragmatic,Philosophical dealing with causes reasons and effects rather than with details and circumstances said of literature
preamble,A short preliminary statement or remark especially an explanatory introduction to a formal document or statute
precarious,Dangerously insecure or unstable perilous
precursor,One of the compounds that participates in the chemical reaction that produces another compound
presumptuous,Going beyond what is right proper or appropriate because of an excess of self-confidence or arrogance
prevaricate,To shift or turn from direct speech or behaviour to deviate from the truth to evade the truth to waffle or be  ambiguous
pristine,Unspoiled still with its original purity uncorrupted or unsullied
probity,Integrity especially of the quality of having strong moral principles decency and honesty
prodigal,Returning especially repentantly after having  abandoned a person group or ideal behaving as a prodigal son
profound,Intellectually deep entering far into subjects reaching to the bottom of a matter or of a branch of learning thorough
proliferate,To increase in number or spread rapidly to multiply
propensity,An inclination disposition tendency preference or attraction
propitiate,To conciliate appease or make peace with someone particularly a god or spirit
propriety,The particular character or essence of someone or something individuality
proscribe,To forbid or prohibit
pungent,Having a strong taste that stings the tongue said especially of hot  food which has a strong and sharp or bitter taste
qualified,Meeting the standards requirements and training for a position
quibble,An objection or argument based on an ambiguity of wording or similar trivial circumstance a minor complaint
quiescent,Inactive quiet at rest
rarefied,Distant from the lives and everyday concerns of ordinary people esoteric exclusive select
recalcitrant,Not viable for an extended period damaged by drying or freezing
recant,To withdraw or repudiate a statement or opinion formerly expressed especially formally and publicly
recluse,a person who lives in self-imposed isolation or seclusion from the world especially for religious purposes a hermit
recondite,A scholar or other person who is recondite that is who has mastery over his or her field including its esoteric minutiae
refractory,A material or piece of material such as a brick that has a very high melting point
refute,To deny the truth or correctness of
relegate,A person who has been banished from proximity to Rome for a set time but without losing his civil rights
reproach,A mild rebuke or an implied criticism
reprobate,To have strong disapproval of something to reprove to condemn
repudiate,To refuse to have anything to do with to disown
rescind,To repeal annul or declare void to take  out of effect
resolution,The degree of fineness with which an image can be recorded or produced often expressed as the number of pixels per unit of length
reticent,Keeping one's thoughts and opinions to oneself reserved or restrained
reverent,Showing or characterized by great respect or reverence respectful
sage,A wise person or spiritual teacher someone of gravity and wisdom especially a teacher venerable for years and of sound judgment and prudence a grave or stoic philosopher
salubrious,Promoting health or well-being wholesome especially as related to air
sanction,A penalty punishment or some coercive measure intended to ensure compliance especially one adopted by several nations or by an international body
satiate,To satisfy to excess
secrete,To extract a substance from blood sap or similar to produce and emit waste for excretion or for the fulfilling of a physiological function
organism,A discrete and complete living thing such as animal plant fungus or microorganism
shard,An instance of an MMORPG that is one of several independent and structurally identical virtual worlds none of which has so many players as to exhaust a system's resources
skeptic,Someone who doubts beliefs claims plans etc that are accepted by others as true or appropriate especially one who habitually does so
solicitous,Disposed to solicit eager to obtain something desirable or to avoid anything evil
soporific,Something inducing sleep especially a drug
specious,Having an attractive appearance intended to generate a favorable response deceptively attractive
sporadic,occurring in isolated instances not epidemic
stigma,A mark on the body corresponding to one of the wounds of the Crucifixion on Jesus' body and sometimes reported to bleed periodically
stipulate,Having stipules that is having outgrowths borne on either side of the base of the leafstalk
stolid,Having or revealing little emotion or sensibility dully or heavily stupid
strut,An act of strutting  by a strut or struts  attaching diagonally bending at a sharp angle”) specifically deviation  from the normal position
strut,An act of strutting  by a strut or struts  attaching diagonally bending at a sharp angle”) specifically deviation  from the normal position
subpoena,A writ requiring a defendant to appear in court to answer a plaintiff's claim
subside,To fall into a state of calm to be calm again to settle down to become tranquil to abate
supersede,An updated newsgroup post that supersedes an earlier version
tacit,Not derived from formal principles of reasoning based on induction rather than deduction
tangential,Referring to a tangent moving at a tangent to something
tenuous,Thin in substance or consistency
tirade,To make a long angry or violent speech a tirade
torpor,A state similar to hibernation characterised by energy-conserving very deep sleep
tortuous,Oblique applied to the six signs of the zodiac  that ascend most rapidly and obliquely
tractable,Sufficiently operationalizable or useful to allow a mathematical calculation to proceed toward a solution
transgression,A relative rise in sea level resulting in deposition of marine strata over terrestrial strata
truculence,The state of being truculent eagerness to fight ferocity
vacillate,To swing indecisively from one course of action or opinion to another
venerate,To treat with great respect and deference
veracious,Truthful speaking the truth
verbose,Containing or using more words than necessary long-winded wordy
viable,An organism that is able to live and develop
volatile,Passing through the air on wings or by the buoyant force of the atmosphere flying having the power to fly
wary,Cautious of danger carefully watching and guarding against deception trickery and dangers suspiciously prudent
welter,To rise and fall to tumble over to roll
whimsical,Given to whimsy
zealot,A member of a radical warlike ardently patriotic group of Jews in Judea particularly prominent in the first century who advocated the violent overthrow of Roman rule and vigorously resisted the efforts of the Romans and their supporters to convert the Jews
