Word,Defination
armada,A fleet of warships especially with reference to the Spanish Armada
aromatic,Having a closed ring of alternate single and double bonds with delocalized electrons
arraign,To call to account or accuse before the bar of reason taste or any other tribunal
array,Any of various data structures designed to hold multiple elements of the same type especially a data structure that holds these elements in adjacent memory locations so that they may be retrieved using numeric indices
arrears,plural of arrear
arrhythmic,Suffering from cardiac arrhythmia
arrogance,The state of being arrogant a type of extreme or foolish pride in which someone feels much superior to another
arroyo,A dry creek or streambed a gulch which temporarily or seasonally fills and flows
arsenal,A military establishment for the storing development manufacturing testing or repairing of arms ammunition and other war materiel an armoury
artery,Any of the muscular- and elastic-walled blood vessels forming part of the circulation system by which blood is conveyed away from the heart regardless of its oxygenation status see pulmonary artery
artful,Characterized by or performed with cleverness or contrivance clever ingenious
articulate,To bend or hinge something at intervals or to allow or build something so that it can bend
artifact,A finding or structure in an experiment or investigation that is not a true feature of the object under observation but is a result of external action the test arrangement or an experimental error
artifice,A strategic maneuver that uses some clever means to avoid detection or capture
artisan,A skilled manual worker who uses tools and machinery in a particular craft
artless,Lacking art knowledge or skill uncultured and ignorant
ascendancy,A quantitative attribute of an ecosystem defined as a function of the ecosystem's trophic network and intended to indicate its ability to prevail against disturbance by virtue of its combined organization and size
ascertain,To make  certain or confident about something to inform
ascetic,Characterized by rigorous self-denial or self-discipline austere abstinent involving a withholding of physical pleasure
ascribe,To attribute a book painting or any work of art or literature to a writer or creator
aseptic,Used to protect against infection by disease-causing microbes
ashen,Ash-colored pale anemic anaemic appalled
asinine,Very foolish failing to exercise intelligence or judgement or rationality
askance,With disapproval skepticism or suspicion
askew,Turned or twisted to one side
asperity,A section of a fault line with high friction such that there is no movement along this part of the fault except during an earthquake
aspersion,An attack on somebody's reputation or good name often in the phrase to cast aspersions upon…
aspirant,Someone who aspires to high office etc
aspire,To have a strong desire or ambition to achieve something
assail,To attack with harsh words or violent force
assay,The act or process of ascertaining the proportion of a particular metal in an ore or alloy especially the determination of the proportion of gold or silver in bullion or coin
assent,agreement act of agreeing
assert,To insist on the legitimacy of one's rights opinion etc not to allow oneself to be dismissed to ensure that one is taken into consideration to make oneself respected to be assertive
assiduous,Hard-working diligent or regular  industrious
assimilate,To bring to a likeness or to conformity to cause a resemblance between
assuage,To calm down become less violent  to subside to abate
assumption,The act of taking for granted or supposing a thing without proof a supposition an unwarrantable claim
assurance,Insurance a contract for the payment of a sum on occasion of a certain event as loss or death
asteroid,A naturally occurring solid object which is smaller than a planet and is not a comet that orbits a star and often has an irregular shape
astigmatism,A disorder of the vision usually due to a misshapen cornea such that light does not focus correctly on the retina causing a blurred image
astral,Relating to a supposed supersensible substance taking the form of an aura discernible by certain gifted individuals
astringent,Causing a dry or puckering mouthfeel characteristic of foods with high tannin content such as certain kinds of berries and citrus fruits
astronomical,Of or relating to astronomy
astute,Quickly and critically discerning
asunder,Into separate parts or pieces
asylum,A place of protection or restraint for one or more classes of the disadvantaged especially the mentally ill
asymmetric,Of a relation R on a set S: having the property that for any two elements of S  at least one is not related to the other via R
atavism,The reappearance of an ancestral characteristic in an organism after several generations of absence a throwback
atheistic,of or relating to atheists or atheism
atone,To make reparation compensation amends or satisfaction for an offence crime mistake or deficiency
atrocity,The quality or state of being atrocious enormous wickedness extreme criminality or cruelty
atrophy,A reduction in the functionality of an organ caused by disease injury or lack of use
attentive,Paying attention noticing watching listening or attending closely
attenuate,To become less dense as a result of the conversion of sugar to alcohol
attest,To affirm to be correct true or genuine
attire,One's dress what one wears one's clothes
attribute,An object that is considered typical of someone or some function in particular as an artistic convention
attrition,The gradual reduction in a tangible or intangible resource due to causes that are passive and do not involve productive use of the resource
atypical,Not conforming to the normal type
audacious,Showing willingness to take bold risks recklessly daring
audit,To conduct an independent review and examination of system records and activities in order to test the adequacy and effectiveness of data security and data integrity procedures to ensure compliance with established policy and operational procedures and to recommend any necessary changes
augment,To increase an interval especially the largest interval in a triad by a half step
augury,An event that is experienced as indicating important things to come
august,Awe-inspiring majestic noble venerable
aureole,A circle of light or halo around the head of a deity or a saint
auroral,Pertaining to the dawn dawning eastern like a new beginning
auspicious,Of good omen indicating future success
austere,Lacking decoration trivial not extravagant or gaudy
authenticate,To render authentic to give authority to by the proof attestation or formalities required by law or sufficient to entitle to credit
authoritarian,Of or relating to or exhibiting strict obedience to an authority favoring authoritarianism over civic and individual liberties
authoritative,Highly accurate or definitive treated or worthy of treatment as a scholarly authority
autocratic,Of or pertaining to autocracy or to an autocrat absolute holding independent and arbitrary powers of government
automaton,The self-acting power of the muscular and nervous systems by which movement is effected without intelligent determination
autonomous,Used with no subject indicating an unknown or unspecified agent used in similar situations as the passive in English
autopsy,An eyewitness observation the presentation of an event as witnessed
auxiliary,A person or group that acts in an auxiliary manner
avalanche,A sudden great or irresistible descent or influx anything like an avalanche in suddenness and overwhelming quantity
avant-garde,Any group of people who invent or promote new techniques or concepts especially in the arts
avarice,Excessive or inordinate desire of gain greed for wealth
avenge,To take vengeance  to exact satisfaction for by punishing the injuring party to vindicate by inflicting pain or evil on a wrongdoer
aver,To assert the truth of  to affirm  with confidence to declare  in a positive manner
averse,Turned so as to show the back as of a right hand
aversion,Opposition or repugnance of mind fixed dislike often without any conscious reasoning
avert,To ward off or prevent the occurrence or effects of
aviary,A house enclosure large cage or other place for keeping birds confined a birdhouse
avid,enthusiastic keen eager showing great interest in something or desire to do something
avocation,Pursuits duties affairs which occupy one's time usual employment vocation
avow,To declare openly and boldly as something believed to be right to own acknowledge or confess frankly
avuncular,In the manner of an uncle pertaining to an uncle
awe,To inspire fear and reverence in
awful,Inspiring awe filling with profound reverence or respect profoundly impressive
awl,A pointed instrument for piercing small holes as in leather or wood used by shoemakers saddlers cabinetmakers etc
awry,Turned or twisted toward one side crooked distorted out of place wry
axiom,A seemingly self-evident or necessary truth which is based on assumption a principle or proposition which cannot actually be proved or disproved
azure,A blue colour on a coat of arms represented in engraving by horizontal parallel lines
babble,To utter in an indistinct or incoherent way to repeat words or sounds in a childish way without understanding
bacchanal,Someone who indulges in drunken partying someone noisy and riotous when intoxicated
bacchanalia,Any wild orgiastic party or celebration
bacchanalian,Alternative letter-case form of Bacchanalian
backslide,A dance move in which the feet are alternately slid back and the heels lifted giving the illusion of walking forwards while actually moving backwards
badger,An itinerant licensed dealer in commodities used for food a hawker a huckster -- formerly applied especially to one who bought grain in one place and sold it in another
badinage,To engage in badinage or playful banter
baffle,A device used to dampen the effects of such things as sound light or fluid
bait,Any substance especially food used in catching fish or other animals by alluring them to a hook snare trap or net
baleful,Miserable wretched distressed suffering
balk,"Beam crossbeam squared timber a tie beam of a house stretching from wall to wall especially when laid so as to form a loft ""the balks"""
ballast,A material such as aggregate or precast concrete pavers which employs its mass and the force of gravity to hold single-ply roof membranes in place
balm,Any of various aromatic resins exuded from certain plants especially trees of the genus Commiphora of Africa Arabia and India and Myroxylon of South America
balmy,Foolish slightly crazy or mad eccentric
banal,Common in a boring way to the point of being predictable containing nothing new or fresh
bandy,A club bent at the lower part for striking a ball at play a hockey stick
bane,Poison especially any of several poisonous plants
bank,The regular term of a court of law or the full court sitting to hear arguments upon questions of law as distinguished from a sitting at nisi prius or a court held for jury trials
bantering,present participle of banter
bar,The sign indicating that the characteristic of a logarithm is negative conventionally placed above the digit to show that it applies to the characteristic only and not to the mantissa
barb,Paps or little projections of the mucous membrane which mark the opening of the submaxillary glands under the tongue in horses and cattle
bard,A professional poet and singer like among the ancient Celts whose occupation was to compose and sing verses in honor of the heroic achievements of princes and brave men
barefaced,Unmasked  or not wearing a face covering
bargain,An agreement between parties concerning the sale of property or a contract by which one party binds himself to transfer the right to some property for a consideration and the other party binds himself to receive the property and pay the consideration
baroque,Chiseled from stone or shaped from wood in a garish crooked twisted or slanted sort of way grotesque
barrage,An artificial obstruction such as a dam in a river designed to increase its depth or to divert its flow
barrister,A lawyer with the right to speak and argue as an advocate in higher lawcourts
barterer,One who barters: one who trades goods for other goods without involving money
base,A line in a survey which being accurately determined in length and position serves as the origin from which to compute the distances and positions of any points or objects connected with it by a system of triangles
bask,To take great pleasure or satisfaction to feel warmth or happiness
bastard,Consisting of one predominant color blended with small amounts of complementary color used to replicate natural light because of their warmer appearance
bastion,Any large prominence something that resembles a bastion in size and form
bate,An alkaline lye which neutralizes the effect of the previous application of lime and makes hides supple in the process of tanning
battalion,An army unit having two or more companies etc
bauble,A small shiny spherical decoration commonly put on Christmas trees
bawdy,Sexual in nature and usually meant to be humorous but considered rude
bearing,The horizontal angle between the direction of an object and another object or between it and that of true north a heading or direction
beatific,Blessed blissful heavenly
beatitude,Any one of the Biblical blessings given by Jesus in Matthew 5:3–12
bedizen,To ornament something in showy tasteless or gaudy finery
bedraggle,To make  wet and limp especially by dragging it along the ground
beeline,A dynamite fuse made with a small quantity of dynamite powder along its length so that the spark travels quickly and at a specific known rate
befuddle,To stupefy  especially with alcohol
beget,beget  begat past participle begotten or  begot)
begrudge,To grudge about or over be envious or covetous
beguile,To cause  to seem to pass quickly by way of pleasant diversion
behemoth,Something which has the qualities of great power and might and monstrous proportions
